date,eg_value
2022-05-11 0:00,0
2022-05-11 0:15,0
2022-05-11 0:30,0
2022-05-11 0:45,0
2022-05-11 1:00,0
2022-05-11 1:15,0
2022-05-11 1:30,0
2022-05-11 1:45,0
2022-05-11 2:00,0
2022-05-11 2:15,0
2022-05-11 2:30,0
2022-05-11 2:45,0
2022-05-11 3:00,0
2022-05-11 3:15,0
2022-05-11 3:30,0
2022-05-11 3:45,0
2022-05-11 4:00,0
2022-05-11 4:15,0
2022-05-11 4:30,0
2022-05-11 4:45,0
2022-05-11 5:00,0
2022-05-11 5:15,0
2022-05-11 5:30,3.43
2022-05-11 5:45,10.97
2022-05-11 6:00,10.14
2022-05-11 6:15,12.87
2022-05-11 6:30,15.48
2022-05-11 6:45,21.45
2022-05-11 7:00,22.93
2022-05-11 7:15,26.9
2022-05-11 7:30,25.42
2022-05-11 7:45,36.16
2022-05-11 8:00,52.69
2022-05-11 8:15,73.64
2022-05-11 8:30,82.56
2022-05-11 8:45,75.3
2022-05-11 9:00,81.15
2022-05-11 9:15,101.12
2022-05-11 9:30,89.61
2022-05-11 9:45,90.99
2022-05-11 10:00,188.02
2022-05-11 10:15,172.36
2022-05-11 10:30,168.26
2022-05-11 10:45,187.62
2022-05-11 11:00,192.89
2022-05-11 11:15,187.68
2022-05-11 11:30,200.29
2022-05-11 11:45,112.6
2022-05-11 12:00,120.11
2022-05-11 12:15,233.5
2022-05-11 12:30,188.97
2022-05-11 12:45,118.08
2022-05-11 13:00,179.03
2022-05-11 13:15,113.15
2022-05-11 13:30,168.56
2022-05-11 13:45,101.97
2022-05-11 14:00,127.22
2022-05-11 14:15,118.56
2022-05-11 14:30,173.63
2022-05-11 14:45,151
2022-05-11 15:00,139.06
2022-05-11 15:15,145
2022-05-11 15:30,103.09
2022-05-11 15:45,122.83
2022-05-11 16:00,58.94
2022-05-11 16:15,60.05
2022-05-11 16:30,92.12
2022-05-11 16:45,34.04
2022-05-11 17:00,38.51
2022-05-11 17:15,33.04
2022-05-11 17:30,22.08
2022-05-11 17:45,16.06
2022-05-11 18:00,16.99
2022-05-11 18:15,18.17
2022-05-11 18:30,12.53
2022-05-11 18:45,11.56
2022-05-11 19:00,3.49
2022-05-11 19:15,3.39
2022-05-11 19:30,0
2022-05-11 19:45,0
2022-05-11 20:00,0
2022-05-11 20:15,0
2022-05-11 20:30,0
2022-05-11 20:45,0
2022-05-11 21:00,0
2022-05-11 21:15,0
2022-05-11 21:30,0
2022-05-11 21:45,0
2022-05-11 22:00,0
2022-05-11 22:30,0
2022-05-11 23:00,0
2022-05-11 23:30,0
