date,eg_value
2022-11-04 0:00,81.5
2022-11-04 1:00,112.25
2022-11-04 2:00,98.13
2022-11-04 3:00,99.81
2022-11-04 4:00,110.5
2022-11-04 5:00,100.06
2022-11-04 6:00,99.31
2022-11-04 7:00,102.32
2022-11-04 8:00,105.12
2022-11-04 9:00,100.88
2022-11-04 10:00,110.43
2022-11-04 11:00,97.88
2022-11-04 12:00,99.06
2022-11-04 13:00,103.63
2022-11-04 14:00,108.56
2022-11-04 15:00,99.56
2022-11-04 16:00,91.19
2022-11-04 17:00,84.69
2022-11-04 18:00,81.12
2022-11-04 19:00,88.75
2022-11-04 20:00,81.69
2022-11-04 21:00,83.81
2022-11-04 22:00,88.63
2022-11-04 23:00,86.18
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
