ED,EC
5331.247216,8100.56
6899.545993,7262.94
5971.16896,6231.56
5645.972981,9822.44
6480.125797,13546.37
5576.681234,8587.38
5912.561116,8683.88
6513.549963,7923.26
6691.055694,6558.74
6926.034756,8175.5
6979.231,7711.0
5935.765501,7980.5
5942.091094,9323.12
5548.093269,9981.12
5094.048974,11086.87
4447.897393,12205.26
4723.258312,8383.87
5093.672346,7551.87
5721.2005,9408.38
5814.725819,8605.0
5725.007179,7792.5
4866.700609,6260.87
4819.755297,9958.5
5333.088585,8521.88
5815.554244,7808.5
6230.428221,11088.75
6305.605083,11179.13
5532.421538,11172.12
5030.892522,10082.5
5296.554616,8800.74
5108.907541,8109.39
5126.952412,8228.5
4676.063423,11548.0
4671.682843,12505.37
4688.583765,10346.0
4302.807862,10828.63
4191.520102,13220.0
4039.241748,13313.5
4325.054133,13233.63
3559.872724,15270.12
3529.065475,8448.12
4403.811622,8293.0
4730.507617,15882.5
4058.832617,15628.0
3662.867732,14055.62
3776.370479,11021.75
4725.258718,12285.13
4577.705235,15931.5
4319.294478,15257.5
4659.155748,15148.37
4443.800217,15252.01
4551.716354,13999.49
5188.64519,13284.38
4642.015815,12430.87
4618.380629,16324.37
4814.953313,15955.88
3676.122994,14969.25
3713.501277,9117.25
3796.875485,8049.63
4101.981705,12443.5
4262.21107,12289.12
4853.04111,16465.88
5130.941418,9415.13
4160.350194,16441.38
4183.353848,14667.5
4759.831172,11975.5
5059.001177,12200.5
5010.938317,14317.0
5273.817432,14142.12
4452.382393,14422.5
3973.797842,14974.0
4055.05074,15529.25
4729.790009,12702.5
5559.971041,13543.5
5726.015189,16066.25
5188.1003,16989.75
5637.435981,16521.75
4889.888437,13724.0
5151.247109,7511.0
5214.318054,13162.0
6001.75255,14361.75
6802.815525,14471.0
6190.870738,17230.0
7257.162502,14906.25
5435.002169,14238.25
4120.39424,17046.0
4704.922621,14280.0
4118.985672,11938.5
5217.023781,14555.25
5618.438985,14901.0
6259.103428,15996.25
4915.989574,14826.25
5121.363504,14482.75
5962.137094,11537.5
4233.471103,11344.75
5197.262024,15347.75
5728.426681,18245.75
6099.014108,15967.75
5187.362717,14908.25
5318.628341,11638.0
7534.418059,11246.75
8410.565584,12091.25
7836.510513,15813.5
5845.147061,14695.75
6197.007719,9270.0
7864.577583,9035.5
6415.31589,16832.75
6121.13094,16739.5
7807.533192,14692.0
8007.677785,14880.25
8604.797329,17657.25
8203.460742,16324.75
7555.41783,15185.0
5740.931722,15350.75
6433.525679,15572.0
6300.75859,12080.75
7096.222456,12844.25
6014.497785,15872.75
6926.306554,19985.25
7015.418031,27317.36
5286.840769,27126.13
5374.594691,25981.97
5087.201182,23993.91
6754.633916,25334.72
7607.391927,27228.62
5736.584394,29006.31
6924.572145,26993.75
5314.566768,15660.52
8677.853021,26878.56
6101.039503,21804.12
5422.236051,26338.76
7715.997566,25600.27
7676.028363,26731.76
8106.747599,27091.0
8306.465379,25361.84
