date,rad
2022-05-10 6:00,0.01
2022-05-10 7:00,0.24
2022-05-10 8:00,0.79
2022-05-10 9:00,1.93
2022-05-10 10:00,2.66
2022-05-10 11:00,3.15
2022-05-10 12:00,3.57
2022-05-10 13:00,3.63
2022-05-10 14:00,3.5
2022-05-10 15:00,3.13
2022-05-10 16:00,2.59
2022-05-10 17:00,1.96
2022-05-10 18:00,1.16
2022-05-10 19:00,0.35
2022-05-10 20:00,0.02
2022-05-11 6:00,0.01
2022-05-11 7:00,0.27
2022-05-11 8:00,0.55
2022-05-11 9:00,1.24
2022-05-11 10:00,1.66
2022-05-11 11:00,2.84
2022-05-11 12:00,2.76
2022-05-11 13:00,2.69
2022-05-11 14:00,2.35
2022-05-11 15:00,2.32
2022-05-11 16:00,1.93
2022-05-11 17:00,0.81
2022-05-11 18:00,0.4
2022-05-11 19:00,0.18
2022-05-11 20:00,0.01
2022-05-12 6:00,0.0
2022-05-12 7:00,0.15
2022-05-12 8:00,0.49
2022-05-12 9:00,0.97
2022-05-12 10:00,1.42
2022-05-12 11:00,1.68
2022-05-12 12:00,2.21
2022-05-12 13:00,3.41
2022-05-12 14:00,2.94
2022-05-12 15:00,2.22
2022-05-12 16:00,1.86
2022-05-12 17:00,0.33
2022-05-12 18:00,0.23
2022-05-12 19:00,0.12
2022-05-12 20:00,0.02
2022-05-13 6:00,0.01
2022-05-13 7:00,0.24
2022-05-13 8:00,0.79
2022-05-13 9:00,0.93
2022-05-13 10:00,0.79
2022-05-13 11:00,1.51
2022-05-13 12:00,1.65
2022-05-13 13:00,0.64
2022-05-13 14:00,0.39
2022-05-13 15:00,0.52
2022-05-13 16:00,0.94
2022-05-13 17:00,0.83
2022-05-13 18:00,0.4
2022-05-13 19:00,0.28
2022-05-13 20:00,0.05
2022-05-14 6:00,0.04
2022-05-14 7:00,0.49
2022-05-14 8:00,1.2
2022-05-14 9:00,1.93
2022-05-14 10:00,2.59
2022-05-14 11:00,3.08
2022-05-14 12:00,3.17
2022-05-14 13:00,3.38
2022-05-14 14:00,3.46
2022-05-14 15:00,2.42
2022-05-14 16:00,1.83
2022-05-14 17:00,1.49
2022-05-14 18:00,1.0
2022-05-14 19:00,0.22
2022-05-14 20:00,0.02
2022-05-15 6:00,0.02
2022-05-15 7:00,0.34
2022-05-15 8:00,1.01
2022-05-15 9:00,1.95
2022-05-15 10:00,2.71
2022-05-15 11:00,3.17
2022-05-15 12:00,3.64
2022-05-15 13:00,3.66
2022-05-15 14:00,3.43
2022-05-15 15:00,3.08
2022-05-15 16:00,2.62
2022-05-15 17:00,1.92
2022-05-15 18:00,1.12
2022-05-15 19:00,0.45
2022-05-15 20:00,0.04
2022-05-16 6:00,0.04
2022-05-16 7:00,0.53
2022-05-16 8:00,1.28
2022-05-16 9:00,2.01
2022-05-16 10:00,2.66
2022-05-16 11:00,3.16
2022-05-16 12:00,3.43
2022-05-16 13:00,3.56
2022-05-16 14:00,3.41
2022-05-16 15:00,3.08
2022-05-16 16:00,2.57
2022-05-16 17:00,1.91
2022-05-16 18:00,1.16
2022-05-16 19:00,0.46
2022-05-16 20:00,0.04
2022-05-17 6:00,0.04
2022-05-17 7:00,0.46
2022-05-17 8:00,1.15
2022-05-17 9:00,1.89
2022-05-17 10:00,2.55
2022-05-17 11:00,3.05
2022-05-17 12:00,3.37
2022-05-17 13:00,3.47
2022-05-17 14:00,3.35
2022-05-17 15:00,3.0
2022-05-17 16:00,2.5
2022-05-17 17:00,1.89
2022-05-17 18:00,1.13
2022-05-17 19:00,0.41
2022-05-17 20:00,0.04
2022-05-18 6:00,0.03
2022-05-18 7:00,0.42
2022-05-18 8:00,1.07
2022-05-18 9:00,1.8
2022-05-18 10:00,2.47
2022-05-18 11:00,2.68
2022-05-18 12:00,2.5
2022-05-18 13:00,2.78
2022-05-18 14:00,3.25
2022-05-18 15:00,2.95
2022-05-18 16:00,2.46
2022-05-18 17:00,1.81
2022-05-18 18:00,1.1
2022-05-18 19:00,0.42
2022-05-18 20:00,0.04
2022-05-19 6:00,0.05
2022-05-19 7:00,0.42
2022-05-19 8:00,0.82
2022-05-19 9:00,1.25
2022-05-19 10:00,1.56
2022-05-19 11:00,1.61
2022-05-19 12:00,1.97
2022-05-19 13:00,1.69
2022-05-19 14:00,1.87
2022-05-19 15:00,1.43
2022-05-19 16:00,1.8
2022-05-19 17:00,1.8
2022-05-19 18:00,0.72
2022-05-19 19:00,0.38
2022-05-19 20:00,0.04
2022-05-20 6:00,0.02
2022-05-20 7:00,0.37
2022-05-20 8:00,0.79
2022-05-20 9:00,1.16
2022-05-20 10:00,1.55
2022-05-20 11:00,1.78
2022-05-20 12:00,3.21
2022-05-20 13:00,3.39
2022-05-20 14:00,3.34
2022-05-20 15:00,2.88
2022-05-20 16:00,2.55
2022-05-20 17:00,1.85
2022-05-20 18:00,1.12
2022-05-20 19:00,0.45
2022-05-20 20:00,0.03
2022-05-21 6:00,0.04
2022-05-21 7:00,0.44
2022-05-21 8:00,1.12
2022-05-21 9:00,1.85
2022-05-21 10:00,2.52
2022-05-21 11:00,2.98
2022-05-21 12:00,3.43
2022-05-21 13:00,2.87
2022-05-21 14:00,3.12
2022-05-21 15:00,2.32
2022-05-21 16:00,2.42
2022-05-21 17:00,1.72
2022-05-21 18:00,1.24
2022-05-21 19:00,0.47
2022-05-21 20:00,0.04
2022-05-22 6:00,0.04
2022-05-22 7:00,0.44
2022-05-22 8:00,1.09
2022-05-22 9:00,1.82
2022-05-22 10:00,2.45
2022-05-22 11:00,2.9
2022-05-22 12:00,3.28
2022-05-22 13:00,3.41
2022-05-22 14:00,3.32
2022-05-22 15:00,3.04
2022-05-22 16:00,2.48
2022-05-22 17:00,1.84
2022-05-22 18:00,1.14
2022-05-22 19:00,0.48
2022-05-22 20:00,0.04
2022-05-23 6:00,0.04
2022-05-23 7:00,0.42
2022-05-23 8:00,1.06
2022-05-23 9:00,1.78
2022-05-23 10:00,2.45
2022-05-23 11:00,2.94
2022-05-23 12:00,3.19
2022-05-23 13:00,3.18
2022-05-23 14:00,2.94
2022-05-23 15:00,2.43
2022-05-23 16:00,2.0
2022-05-23 17:00,1.35
2022-05-23 18:00,0.72
2022-05-23 19:00,0.47
2022-05-23 20:00,0.06
2022-05-24 6:00,0.05
2022-05-24 7:00,0.5
2022-05-24 8:00,1.2
2022-05-24 9:00,1.92
2022-05-24 10:00,2.6
2022-05-24 11:00,3.12
2022-05-24 12:00,3.37
2022-05-24 13:00,3.48
2022-05-24 14:00,3.38
2022-05-24 15:00,3.07
2022-05-24 16:00,2.57
2022-05-24 17:00,1.87
2022-05-24 18:00,1.13
2022-05-24 19:00,0.45
2022-05-24 20:00,0.04
2022-05-25 6:00,0.05
2022-05-25 7:00,0.48
2022-05-25 8:00,1.14
2022-05-25 9:00,1.84
2022-05-25 10:00,2.49
2022-05-25 11:00,2.97
2022-05-25 12:00,3.17
2022-05-25 13:00,3.39
2022-05-25 14:00,2.75
2022-05-25 15:00,1.95
2022-05-25 16:00,2.28
2022-05-25 17:00,1.32
2022-05-25 18:00,0.76
2022-05-25 19:00,0.31
2022-05-25 20:00,0.03
2022-05-26 6:00,0.06
2022-05-26 7:00,0.43
2022-05-26 8:00,1.32
2022-05-26 9:00,1.99
2022-05-26 10:00,2.69
2022-05-26 11:00,3.21
2022-05-26 12:00,3.54
2022-05-26 13:00,3.61
2022-05-26 14:00,3.12
2022-05-26 15:00,3.02
2022-05-26 16:00,2.36
2022-05-26 17:00,1.68
2022-05-26 18:00,1.29
2022-05-26 19:00,0.57
2022-05-26 20:00,0.07
2022-05-27 6:00,0.06
2022-05-27 7:00,0.26
2022-05-27 8:00,1.2
2022-05-27 9:00,2.01
2022-05-27 10:00,2.6
2022-05-27 11:00,2.92
2022-05-27 12:00,3.36
2022-05-27 13:00,3.45
2022-05-27 14:00,3.51
2022-05-27 15:00,3.22
2022-05-27 16:00,2.67
2022-05-27 17:00,2.04
2022-05-27 18:00,1.31
