date,tem,hum
2022-05-10 0:00,16.5,39
2022-05-10 1:00,15.5,43
2022-05-10 2:00,14.3,48
2022-05-10 3:00,14.2,46
2022-05-10 4:00,13.3,54
2022-05-10 5:00,12.4,59
2022-05-10 6:00,11.5,66
2022-05-10 7:00,12.7,60
2022-05-10 8:00,15.3,50
2022-05-10 9:00,17.9,37
2022-05-10 10:00,20.4,29
2022-05-10 11:00,22.0,24
2022-05-10 12:00,23.1,19
2022-05-10 13:00,23.9,19
2022-05-10 14:00,24.9,20
2022-05-10 15:00,25.0,20
2022-05-10 16:00,25.6,19
2022-05-10 17:00,25.9,21
2022-05-10 18:00,24.8,22
2022-05-10 19:00,23.0,25
2022-05-10 20:00,21.2,36
2022-05-10 21:00,19.4,39
2022-05-10 22:00,18.5,40
2022-05-10 23:00,17.7,41
2022-05-11 0:00,17.5,43
2022-05-11 1:00,16.1,48
2022-05-11 2:00,15.9,56
2022-05-11 3:00,15.2,55
2022-05-11 4:00,14.9,61
2022-05-11 5:00,15.2,59
2022-05-11 6:00,15.1,62
2022-05-11 7:00,16.2,60
2022-05-11 8:00,17.5,54
2022-05-11 9:00,19.2,44
2022-05-11 10:00,20.5,41
2022-05-11 11:00,22.4,40
2022-05-11 12:00,23.7,42
2022-05-11 13:00,24.4,40
2022-05-11 14:00,25.0,40
2022-05-11 15:00,25.5,40
2022-05-11 16:00,25.0,38
2022-05-11 17:00,24.5,41
2022-05-11 18:00,23.6,42
2022-05-11 19:00,22.4,47
2022-05-11 20:00,20.6,48
2022-05-11 21:00,19.8,50
2022-05-11 22:00,18.8,53
2022-05-11 23:00,18.3,50
2022-05-12 0:00,17.7,51
2022-05-12 1:00,16.9,54
2022-05-12 2:00,16.4,55
2022-05-12 3:00,15.9,58
2022-05-12 4:00,15.6,61
2022-05-12 5:00,15.3,62
2022-05-12 6:00,15.2,64
2022-05-12 7:00,15.6,66
2022-05-12 8:00,17.0,64
2022-05-12 9:00,18.6,58
2022-05-12 10:00,20.5,49
2022-05-12 11:00,21.9,48
2022-05-12 12:00,23.8,44
2022-05-12 13:00,26.3,42
2022-05-12 14:00,26.4,41
2022-05-12 15:00,26.8,40
2022-05-12 16:00,26.5,39
2022-05-12 17:00,25.7,46
2022-05-12 18:00,25.4,45
2022-05-12 19:00,24.3,50
2022-05-12 20:00,23.1,53
2022-05-12 21:00,22.3,53
2022-05-12 22:00,20.7,55
2022-05-12 23:00,19.7,57
2022-05-13 0:00,19.8,57
2022-05-13 1:00,19.5,61
2022-05-13 2:00,19.2,64
2022-05-13 3:00,19.0,61
2022-05-13 4:00,18.6,62
2022-05-13 5:00,18.2,63
2022-05-13 6:00,17.5,66
2022-05-13 7:00,18.1,66
2022-05-13 8:00,19.4,58
2022-05-13 9:00,20.2,56
2022-05-13 10:00,20.2,53
2022-05-13 11:00,21.2,53
2022-05-13 12:00,21.4,53
2022-05-13 13:00,21.0,56
2022-05-13 14:00,20.5,54
2022-05-13 15:00,20.6,54
2022-05-13 16:00,20.6,54
2022-05-13 17:00,21.1,55
2022-05-13 18:00,20.5,57
2022-05-13 19:00,19.5,48
2022-05-13 20:00,18.0,45
2022-05-13 21:00,17.4,49
2022-05-13 22:00,16.5,52
2022-05-13 23:00,16.0,51
2022-05-14 0:00,15.1,53
2022-05-14 1:00,14.1,54
2022-05-14 2:00,13.2,54
2022-05-14 3:00,12.0,62
2022-05-14 4:00,11.5,62
2022-05-14 5:00,10.9,71
2022-05-14 6:00,10.5,69
2022-05-14 7:00,12.9,61
2022-05-14 8:00,14.7,51
2022-05-14 9:00,16.8,45
2022-05-14 10:00,18.7,35
2022-05-14 11:00,20.7,23
2022-05-14 12:00,21.0,30
2022-05-14 13:00,21.8,23
2022-05-14 14:00,22.2,25
2022-05-14 15:00,21.2,31
2022-05-14 16:00,21.0,26
2022-05-14 17:00,20.6,23
2022-05-14 18:00,18.3,23
2022-05-14 19:00,16.8,21
2022-05-14 20:00,15.4,25
2022-05-14 21:00,14.4,29
2022-05-14 22:00,13.2,33
2022-05-14 23:00,12.4,36
2022-05-15 0:00,11.2,43
2022-05-15 1:00,11.0,48
2022-05-15 2:00,10.7,52
2022-05-15 3:00,10.2,54
2022-05-15 4:00,10.0,58
2022-05-15 5:00,9.3,63
2022-05-15 6:00,8.9,69
2022-05-15 7:00,10.5,63
2022-05-15 8:00,13.4,50
2022-05-15 9:00,16.0,46
2022-05-15 10:00,17.9,34
2022-05-15 11:00,18.8,33
2022-05-15 12:00,20.1,25
2022-05-15 13:00,20.8,23
2022-05-15 14:00,20.7,25
2022-05-15 15:00,22.0,22
2022-05-15 16:00,21.7,22
2022-05-15 17:00,21.3,21
2022-05-15 18:00,20.3,22
2022-05-15 19:00,17.7,27
2022-05-15 20:00,15.9,31
2022-05-15 21:00,14.7,33
2022-05-15 22:00,14.1,35
2022-05-15 23:00,12.9,31
2022-05-16 0:00,11.7,40
2022-05-16 1:00,11.0,44
2022-05-16 2:00,10.1,49
2022-05-16 3:00,9.2,52
2022-05-16 4:00,8.5,58
2022-05-16 5:00,7.9,62
2022-05-16 6:00,7.6,65
2022-05-16 7:00,10.9,58
2022-05-16 8:00,14.0,39
2022-05-16 9:00,16.6,36
2022-05-16 10:00,19.1,30
2022-05-16 11:00,20.6,24
2022-05-16 12:00,21.4,26
2022-05-16 13:00,22.6,27
2022-05-16 14:00,22.7,28
2022-05-16 15:00,24.3,26
2022-05-16 16:00,24.2,26
2022-05-16 17:00,23.0,28
2022-05-16 18:00,21.0,26
2022-05-16 19:00,19.3,29
2022-05-16 20:00,18.1,32
2022-05-16 21:00,17.3,35
2022-05-16 22:00,16.3,39
2022-05-16 23:00,15.6,47
