date,tem,cooling degree hour,heating degree hour,degree hour
2022-01-05,-73.6,0.0,505.6,505.6
2022-01-06,-45.0,0.0,477.0,477.0
2022-01-07,-39.2,0.0,471.2,471.2
2022-01-08,-5.500000000000001,0.0,437.5,437.5
2022-01-09,41.9,0.0,390.1,390.1
2022-01-10,8.200000000000001,0.0,423.8,423.8
2022-01-11,-156.8,0.0,588.8,588.8
2022-01-12,-188.9,0.0,620.9,620.9
2022-01-13,-151.1,0.0,583.1,583.1
2022-01-14,-124.39999999999999,0.0,556.4,556.4
2022-01-15,-33.9,0.0,465.9,465.9
2022-01-16,-29.6,0.0,461.6,461.6
2022-01-17,-135.6,0.0,567.6,567.6
2022-01-18,-138.4,0.0,570.4,570.4
2022-01-19,-123.7,0.0,555.7,555.7
2022-01-20,-120.4,0.0,552.4,552.4
2022-01-21,-66.10000000000001,0.0,498.1,498.1
2022-01-22,-0.8000000000000005,0.0,432.8,432.8
2022-01-23,48.6,0.0,383.4,383.4
2022-01-24,105.89999999999999,0.0,326.1,326.1
2022-01-25,73.0,0.0,359.0,359.0
2022-01-26,37.5,0.0,394.5,394.5
2022-01-27,-19.0,0.0,451.0,451.0
2022-01-28,-60.3,0.0,492.3,492.3
2022-01-29,-87.0,0.0,519.0,519.0
2022-01-30,-70.8,0.0,502.8,502.8
2022-01-31,-26.9,0.0,458.9,458.9
2022-02-01,-25.0,0.0,457.0,457.0
2022-02-02,-79.7,0.0,511.7,511.7
2022-02-03,-79.1,0.0,511.1,511.1
2022-02-04,-118.3,0.0,550.3,550.3
2022-02-05,-158.3,0.0,590.3,590.3
2022-02-06,-95.6,0.0,527.6,527.6
2022-02-07,-65.8,0.0,497.8,497.8
2022-02-08,-3.4000000000000004,0.0,435.4,435.4
2022-02-09,21.5,0.0,410.5,410.5
2022-02-10,38.3,0.0,393.7,393.7
2022-02-11,65.7,0.0,366.3,366.3
2022-02-12,115.8,0.0,316.2,316.2
2022-02-13,119.0,0.0,313.0,313.0
2022-02-14,64.5,0.0,367.5,367.5
2022-02-15,-101.2,0.0,533.2,533.2
2022-02-16,-173.3,0.0,605.3,605.3
2022-02-17,-155.6,0.0,587.6,587.6
2022-02-18,-40.9,0.0,472.9,472.9
2022-02-19,-26.2,0.0,458.2,458.2
2022-02-20,-116.8,0.0,548.8,548.8
2022-02-21,-71.1,0.0,503.1,503.1
2022-02-22,-104.0,0.0,536.0,536.0
2022-02-23,-137.8,0.0,569.8,569.8
2022-02-24,-67.4,0.0,499.4,499.4
2022-02-25,56.2,0.0,375.8,375.8
2022-02-26,138.7,0.0,293.3,293.3
2022-02-27,84.3,0.0,347.7,347.7
2022-02-28,156.7,0.0,275.3,275.3
2022-03-01,150.1,0.0,281.9,281.9
2022-03-02,73.89999999999999,0.0,358.1,358.1
2022-03-03,139.3,0.0,292.7,292.7
2022-03-04,164.1,0.0,267.9,267.9
2022-03-05,69.4,0.0,362.6,362.6
2022-03-06,33.1,0.0,398.9,398.9
2022-03-07,59.699999999999996,0.0,372.3,372.3
2022-03-08,140.9,0.0,291.1,291.1
2022-03-09,169.4,0.0,262.6,262.6
2022-03-10,218.7,0.0,213.3,213.3
