지점,지점명,일시,최저기온(°C),최고기온(°C)
108,서울,2022-01-05,-7.8,1.9
108,서울,2022-01-06,-5.9,3.3
108,서울,2022-01-07,-5.9,4.5
108,서울,2022-01-08,-5,3.7
108,서울,2022-01-09,-1.2,5.6
108,서울,2022-01-10,-3.4,4.4
108,서울,2022-01-11,-10.3,.3
108,서울,2022-01-12,-11.3,-3.4
108,서울,2022-01-13,-8.9,-3.1
108,서울,2022-01-14,-10.1,1.3
108,서울,2022-01-15,-5.3,1.8
108,서울,2022-01-16,-7.2,2.4
108,서울,2022-01-17,-9.2,.1
108,서울,2022-01-18,-9.9,-.7
108,서울,2022-01-19,-7.7,-2.7
108,서울,2022-01-20,-9.8,.9
108,서울,2022-01-21,-8.7,4.6
108,서울,2022-01-22,-5,7.1
108,서울,2022-01-23,-.6,6.7
108,서울,2022-01-24,1.3,8.4
108,서울,2022-01-25,1.9,4.5
108,서울,2022-01-26,-1.9,6.8
108,서울,2022-01-27,-4.6,4
108,서울,2022-01-28,-5.9,2.1
108,서울,2022-01-29,-7.2,.9
108,서울,2022-01-30,-8,2.4
108,서울,2022-01-31,-6.8,4.8
108,서울,2022-02-01,-2.7,.9
108,서울,2022-02-02,-6,0
108,서울,2022-02-03,-6.9,.4
108,서울,2022-02-04,-8.2,-.7
108,서울,2022-02-05,-9.7,-2
108,서울,2022-02-06,-8.4,1.7
108,서울,2022-02-07,-7.3,1.9
108,서울,2022-02-08,-4.1,5.6
108,서울,2022-02-09,-4.3,7.2
108,서울,2022-02-10,-3.2,6.7
108,서울,2022-02-11,-2.6,8.8
108,서울,2022-02-12,-.1,10.4
108,서울,2022-02-13,1.6,9.5
108,서울,2022-02-14,-1.3,8.1
108,서울,2022-02-15,-7.7,-1.3
108,서울,2022-02-16,-9.6,-4.1
108,서울,2022-02-17,-10.7,-.5
108,서울,2022-02-18,-8,5.7
108,서울,2022-02-19,-6.2,3.7
108,서울,2022-02-20,-8.4,-.5
108,서울,2022-02-21,-8.1,3.6
108,서울,2022-02-22,-8,.5
108,서울,2022-02-23,-10,-.6
108,서울,2022-02-24,-8.5,3.7
108,서울,2022-02-25,-3.6,8.4
108,서울,2022-02-26,1,9.3
108,서울,2022-02-27,-1.6,9.1
108,서울,2022-02-28,2.7,11.5
108,서울,2022-03-01,.3,9.7
108,서울,2022-03-02,-2.3,8.8
108,서울,2022-03-03,.9,12.4
108,서울,2022-03-04,.6,14.6
108,서울,2022-03-05,-.7,6.7
108,서울,2022-03-06,-3,6.8
108,서울,2022-03-07,-2.7,8.7
108,서울,2022-03-08,1.1,12.3
108,서울,2022-03-09,1.7,14.8
108,서울,2022-03-10,4.2,15.8
108,서울,2022-03-11,5.1,18.4
108,서울,2022-03-12,6.3,19.5
108,서울,2022-03-13,10.7,12.6
108,서울,2022-03-14,4.9,13.2
108,서울,2022-03-15,2.3,13.3
108,서울,2022-03-16,3.6,16.8
108,서울,2022-03-17,7.8,15.1
108,서울,2022-03-18,5.5,9.6
108,서울,2022-03-19,.9,6.1
108,서울,2022-03-20,2.2,9.3
108,서울,2022-03-21,-.3,10.9
108,서울,2022-03-22,1.1,13.6
108,서울,2022-03-23,4.9,8.2
108,서울,2022-03-24,3.9,12.4
108,서울,2022-03-25,6.3,17.2
108,서울,2022-03-26,9.5,14.7
108,서울,2022-03-27,5,12.6
108,서울,2022-03-28,1.5,15.1
108,서울,2022-03-29,3.3,15.6
108,서울,2022-03-30,5.9,15.7
108,서울,2022-03-31,7.6,14.7
108,서울,2022-04-01,4.5,14.9
108,서울,2022-04-02,3.7,14.2
108,서울,2022-04-03,3.5,17
108,서울,2022-04-04,5.1,16.4
108,서울,2022-04-05,4.9,15.8
108,서울,2022-04-06,8,17
108,서울,2022-04-07,7.4,15.7
108,서울,2022-04-08,5.1,20
108,서울,2022-04-09,12.4,24.2
108,서울,2022-04-10,12.7,25.1
108,서울,2022-04-11,13.4,26.6
108,서울,2022-04-12,15.9,26.4
108,서울,2022-04-13,12,15.9
108,서울,2022-04-14,11.4,15.3
108,서울,2022-04-15,7.5,19.3
108,서울,2022-04-16,7.1,20.2
108,서울,2022-04-17,7.2,21.9
108,서울,2022-04-18,11.4,21.6
108,서울,2022-04-19,8.9,22.1
108,서울,2022-04-20,9.7,22.1
108,서울,2022-04-21,9.6,22.7
108,서울,2022-04-22,13.2,16.8
108,서울,2022-04-23,10.4,25.3
108,서울,2022-04-24,15,24.5
108,서울,2022-04-25,17,23.6
108,서울,2022-04-26,17,28.7
108,서울,2022-04-27,12.6,23.9
108,서울,2022-04-28,11.6,25.9
108,서울,2022-04-29,10.7,16.5
108,서울,2022-04-30,10.5,17.8
108,서울,2022-05-01,7.9,19.2
108,서울,2022-05-02,9.1,19.4
108,서울,2022-05-03,9.1,20.8
108,서울,2022-05-04,10,25.2
108,서울,2022-05-05,12.5,25.8
108,서울,2022-05-06,13.7,25.6
108,서울,2022-05-07,15.3,23.1
108,서울,2022-05-08,11.7,18.2
108,서울,2022-05-09,11,25.3
108,서울,2022-05-10,13.6,26.3
108,서울,2022-05-11,16.6,25.2
108,서울,2022-05-12,14.1,28.1
108,서울,2022-05-13,15,25.2
108,서울,2022-05-14,11.9,20
108,서울,2022-05-15,10.5,22.4
108,서울,2022-05-16,10.9,23.7
108,서울,2022-05-17,13,27.4
108,서울,2022-05-18,15.7,25.4
108,서울,2022-05-19,16.1,24.2
108,서울,2022-05-20,15.6,25.8
108,서울,2022-05-21,16.1,26
108,서울,2022-05-22,15.7,25.8
108,서울,2022-05-23,17.8,30.7
108,서울,2022-05-24,16.7,30.2
108,서울,2022-05-25,16.7,26.7
108,서울,2022-05-26,14.1,23.5
108,서울,2022-05-27,16,25.6
108,서울,2022-05-28,15,29.3
108,서울,2022-05-29,19.3,29.7
108,서울,2022-05-30,17.2,24.7
108,서울,2022-05-31,14.2,27.2
108,서울,2022-06-01,16.2,28.6
108,서울,2022-06-02,17.1,26.9
108,서울,2022-06-03,18.7,32.6
108,서울,2022-06-04,20.3,29.7
108,서울,2022-06-05,20.2,27
108,서울,2022-06-06,16.7,24.5
108,서울,2022-06-07,15.1,25.1
108,서울,2022-06-08,16.2,25.8
108,서울,2022-06-09,18.5,24.5
108,서울,2022-06-10,17.2,26.6
108,서울,2022-06-11,17.7,32.7
108,서울,2022-06-12,18.9,31.5
108,서울,2022-06-13,19.6,29.2
108,서울,2022-06-14,17.7,27.1
108,서울,2022-06-15,14.9,20.1
108,서울,2022-06-16,17.6,24.8
108,서울,2022-06-17,16.5,28.1
108,서울,2022-06-18,22,25.1
108,서울,2022-06-19,22.3,25.1
108,서울,2022-06-20,22,29
108,서울,2022-06-21,21.2,32.6
108,서울,2022-06-22,21.9,31
108,서울,2022-06-23,23.3,26.4
108,서울,2022-06-24,20.6,24.9
108,서울,2022-06-25,21.5,30.5
108,서울,2022-06-26,24.8,28.1
108,서울,2022-06-27,25.4,28.1
108,서울,2022-06-28,25.7,27.9
108,서울,2022-06-29,24.4,26.1
108,서울,2022-06-30,21.2,24.5
108,서울,2022-07-01,21.9,30.9
108,서울,2022-07-02,24,33.8
108,서울,2022-07-03,24.4,34.2
108,서울,2022-07-04,26.4,32.6
108,서울,2022-07-05,26.7,33.1
108,서울,2022-07-06,26.2,33.3
108,서울,2022-07-07,26.4,31
108,서울,2022-07-08,24,27.9
108,서울,2022-07-09,24,30.9
108,서울,2022-07-10,24.6,35.1
108,서울,2022-07-11,24.7,30.6
108,서울,2022-07-12,23.2,29.4
108,서울,2022-07-13,24,27.1
108,서울,2022-07-14,23.3,29.9
108,서울,2022-07-15,23,30.3
108,서울,2022-07-16,23.2,28.2
108,서울,2022-07-17,22.5,29.7
108,서울,2022-07-18,23.1,30.1
108,서울,2022-07-19,24.3,31.1
108,서울,2022-07-20,24.3,30.4
108,서울,2022-07-21,20.8,25.2
108,서울,2022-07-22,22.9,27.5
108,서울,2022-07-23,22.3,28
108,서울,2022-07-24,22,28.4
108,서울,2022-07-25,23.6,32
108,서울,2022-07-26,24.4,33.1
108,서울,2022-07-27,26.4,33.4
108,서울,2022-07-28,25.1,34.4
108,서울,2022-07-29,27.3,34.3
108,서울,2022-07-30,27.3,36.1
108,서울,2022-07-31,25.4,29
108,서울,2022-08-01,25.4,32.4
108,서울,2022-08-02,25.5,28.5
108,서울,2022-08-03,25.2,30
108,서울,2022-08-04,26,32.9
108,서울,2022-08-05,27,32.7
108,서울,2022-08-06,27.4,30.3
108,서울,2022-08-07,27.2,31.7
108,서울,2022-08-08,,28.4
108,서울,2022-08-09,22,26.5
108,서울,2022-08-10,21.4,28.8
108,서울,2022-08-11,23.4,27.5
108,서울,2022-08-12,23,32.4
108,서울,2022-08-13,24.7,27.5
108,서울,2022-08-14,24.5,31.5
108,서울,2022-08-15,26.6,29.8
108,서울,2022-08-16,24.1,30
108,서울,2022-08-17,22.8,30.5
108,서울,2022-08-18,22.4,29.8
108,서울,2022-08-19,23.3,27.5
108,서울,2022-08-20,25.7,32
108,서울,2022-08-21,24.7,32
108,서울,2022-08-22,22.9,30.2
108,서울,2022-08-23,22.4,30.2
108,서울,2022-08-24,22.4,27.9
108,서울,2022-08-25,21.1,24
108,서울,2022-08-26,19.9,28.4
108,서울,2022-08-27,17.6,25.5
108,서울,2022-08-28,16.1,28.4
108,서울,2022-08-29,19.5,22.5
